,previous_value,target
1824,1.8,8.5
1825,8.5,16.6
1826,16.6,36.3
1827,36.3,49.6
1828,49.6,64.2
1829,64.2,67.0
1830,67.0,70.9
1831,70.9,47.8
1832,47.8,27.5
1833,27.5,8.5
1834,8.5,13.2
1835,13.2,56.9
1836,56.9,121.5
1837,121.5,138.3
1838,138.3,103.2
1839,103.2,85.7
1840,85.7,64.6
1841,64.6,36.7
1842,36.7,24.2
1843,24.2,10.7
1844,10.7,15.0
1845,15.0,40.1
1846,40.1,61.5
1847,61.5,98.5
1848,98.5,124.7
1849,124.7,96.3
1850,96.3,66.6
1851,66.6,64.5
1852,64.5,54.1
1853,54.1,39.0
1854,39.0,20.6
1855,20.6,6.7
1856,6.7,4.3
1857,4.3,22.7
1858,22.7,54.8
1859,54.8,93.8
1860,93.8,95.8
1861,95.8,77.2
1862,77.2,59.1
1863,59.1,44.0
1864,44.0,47.0
1865,47.0,30.5
1866,30.5,16.3
1867,16.3,7.3
1868,7.3,37.6
1869,37.6,74.0
1870,74.0,139.0
1871,139.0,111.2
1872,111.2,101.6
1873,101.6,66.2
1874,66.2,44.7
1875,44.7,17.0
1876,17.0,11.3
1877,11.3,12.4
1878,12.4,3.4
1879,3.4,6.0
1880,6.0,32.3
1881,32.3,54.3
1882,54.3,59.7
1883,59.7,63.7
1884,63.7,63.5
1885,63.5,52.2
1886,52.2,25.4
1887,25.4,13.1
1888,13.1,6.8
1889,6.8,6.3
1890,6.3,7.1
1891,7.1,35.6
1892,35.6,73.0
1893,73.0,85.1
1894,85.1,78.0
1895,78.0,64.0
1896,64.0,41.8
1897,41.8,26.2
1898,26.2,26.7
1899,26.7,12.1
1900,12.1,9.5
1901,9.5,2.7
1902,2.7,5.0
1903,5.0,24.4
1904,24.4,42.0
1905,42.0,63.5
1906,63.5,53.8
1907,53.8,62.0
1908,62.0,48.5
1909,48.5,43.9
1910,43.9,18.6
1911,18.6,5.7
1912,5.7,3.6
1913,3.6,1.4
1914,1.4,9.6
1915,9.6,47.4
1916,47.4,57.1
1917,57.1,103.9
1918,103.9,80.6
1919,80.6,63.6
1920,63.6,37.6
1921,37.6,26.1
1922,26.1,14.2
1923,14.2,5.8
1924,5.8,16.7
1925,16.7,44.3
1926,44.3,63.9
1927,63.9,69.0
1928,69.0,77.8
1929,77.8,64.9
1930,64.9,35.7
1931,35.7,21.2
1932,21.2,11.1
1933,11.1,5.7
1934,5.7,8.7
1935,8.7,36.1
1936,36.1,79.7
1937,79.7,114.4
1938,114.4,109.6
1939,109.6,88.8
1940,88.8,67.8
1941,67.8,47.5
1942,47.5,30.6
1943,30.6,16.3
1944,16.3,9.6
1945,9.6,33.2
1946,33.2,92.6
1947,92.6,151.6
1948,151.6,136.3
1949,136.3,134.7
1950,134.7,83.9
1951,83.9,69.4
1952,69.4,31.5
1953,31.5,13.9
1954,13.9,4.4
1955,4.4,38.0
1956,38.0,141.7
1957,141.7,190.2
1958,190.2,184.8
1959,184.8,159.0
1960,159.0,112.3
1961,112.3,53.9
1962,53.9,37.6
1963,37.6,27.9
1964,27.9,10.2
1965,10.2,15.1
1966,15.1,47.0
1967,47.0,93.8
1968,93.8,105.9
1969,105.9,105.5
1970,105.5,104.5
1971,104.5,66.6
1972,66.6,68.9
1973,68.9,38.0
1974,38.0,34.5
1975,34.5,15.5
1976,15.5,12.6
1977,12.6,27.5
1978,27.5,92.5
1979,92.5,155.4
1980,155.4,154.6
1981,154.6,140.4
1982,140.4,115.9
1983,115.9,66.6
1984,66.6,45.9
1985,45.9,17.9
1986,17.9,13.4
1987,13.4,29.4
1988,29.4,100.2
1989,100.2,157.6
1990,157.6,142.6
1991,142.6,145.7
1992,145.7,94.3
1993,94.3,54.6
1994,54.6,29.9
1995,29.9,17.5
1996,17.5,8.6
1997,8.6,21.5
1998,21.5,64.3
1999,64.3,93.3
2000,93.3,119.6
2001,119.6,111.0
2002,111.0,104.0
2003,104.0,63.7
2004,63.7,40.4
2005,40.4,29.8
2006,29.8,15.2
2007,15.2,7.5
2008,7.5,2.9
